,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,69.2,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,72.4,67.6,79.3,69,70.9,70.6,54.2,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
2,3,3,Stanford University,Stanford-University,unitedstates,72.1,40.2,78.4,87.6,68.4,69.7,50.1,http://www.wikidata.org/entity/Q41506,grid.168010.e,
3,4,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,71.4,70.5,80.3,66.8,70.1,61.4,64.5,http://www.wikidata.org/entity/Q49108,grid.116068.8,
4,5,1,University of Cambridge,University-of-Cambridge,unitedkingdom,69.6,88.5,92.6,53.9,54.3,65.7,53.1,http://www.wikidata.org/entity/Q35794,grid.5335.0,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,64.4,50.3,68.8,56.7,64.8,46.9,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Princeton University,Princeton-University,unitedstates,60.8,56.4,84.8,61.1,43.3,44.3,65.5,http://www.wikidata.org/entity/Q21578,grid.16750.35,
7,8,7,Columbia University,Columbia-University,unitedstates,60.4,70.7,67.4,56.2,47.6,69.9,32.1,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,57.3,65.5,83.9,50.9,39.8,50.5,40,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,56.4,56.2,57.6,48.8,49.8,68.5,41.1,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,54.6,48.6,44.9,58.5,56.3,62,37,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,52.6,42.3,51.1,54.3,49.9,59.5,38.1,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.2,27.2,42.6,56.9,49.2,75.1,31.2,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,unitedstates,50,15.1,35.8,60.2,54.6,65.1,37.9,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,49,32.9,34.3,57.1,46.9,68.6,28.5,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Washington,University-of-Washington,unitedstates,48.7,24.4,31.7,53.9,51.6,72.5,28.1,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,46.4,36.5,35.4,51.9,40.2,66.1,25.7,http://www.wikidata.org/entity/Q838330,grid.14003.36,
17,18,16,The Johns Hopkins University,The-Johns-Hopkins-University,unitedstates,46,43.6,32.1,42,49.4,64,27.2,,grid.21107.35,103
18,18,17,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,46,0,40.1,53.4,51.8,60.7,33.6,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
19,20,1,The University of Tokyo,The-University-of-Tokyo,japan,45.9,33.3,14.1,42,52,80.4,34.5,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
20,21,3,University College London,University-College-London,unitedkingdom,44.4,32.9,32.1,39.4,44.6,67,31.6,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
21,22,18,University of Michigan - Ann Arbor,University-of-Michigan---Ann-Arbor,unitedstates,44.2,36.5,0,59.8,43.4,79.8,26.3,,grid.214458.e,103
22,23,1,Swiss Federal Institute of Technology Zurich,Swiss-Federal-Institute-of-Technology-Zurich,switzerland,43.4,34.1,36.1,36.3,43.6,53.6,47.1,http://www.wikidata.org/entity/Q11942,grid.5801.c,
23,24,2,Kyoto University,Kyoto-University,japan,43.1,33.7,34.7,38.1,36,67.6,31,http://www.wikidata.org/entity/Q336264,grid.258799.8,
24,25,19,University of Illinois at Urbana-Champaign,University-of-Illinois-at-Urbana-Champaign,unitedstates,42.6,35.4,36.5,42.6,37.1,58.6,27.8,http://www.wikidata.org/entity/Q457281,grid.35403.31,
25,26,4,"The Imperial College of Science, Technology and Medicine",The-Imperial-College-of-Science-Technology-and-Medicine,unitedkingdom,41.9,17.7,37.2,41.4,36.9,62.3,33,,grid.7445.2,103
26,27,1,University of Toronto,University-of-Toronto,canada,41.8,23.8,19.2,38.8,38.3,80.3,27.9,http://www.wikidata.org/entity/Q180865,grid.17063.33,
27,28,20,"University of Minnesota, Twin Cities",University-of-Minnesota-Twin-Cities,unitedstates,40.6,30.6,16.2,50.4,36.1,66.6,23.9,http://www.wikidata.org/entity/Q238101,grid.17635.36,
28,29,21,Northwestern University,Northwestern-University,unitedstates,38.4,18.5,18.9,48.3,35.9,59.7,28.4,http://www.wikidata.org/entity/Q309350,grid.16753.36,
29,30,22,Washington University in St. Louis,Washington-University-in-St-Louis,unitedstates,38.1,21.3,25.9,38.8,41,54.8,26.7,http://www.wikidata.org/entity/Q777403,grid.4367.6,
30,31,23,New York University,New-York-University,unitedstates,37.8,32.4,24.4,40.7,36.2,54.4,22.4,http://www.wikidata.org/entity/Q49210,grid.137628.9,
31,32,24,"University of California, Santa Barbara",University-of-California-Santa-Barbara,unitedstates,37.1,16,35.1,42,33.3,42.6,37.3,http://www.wikidata.org/entity/Q263064,grid.133342.4,
32,32,24,University of Colorado at Boulder,University-of-Colorado-at-Boulder,unitedstates,37.1,14.1,30.7,38.8,41.7,44.7,33.5,http://www.wikidata.org/entity/Q736674,grid.266190.a,
33,34,26,Rockefeller University,Rockefeller-University,unitedstates,36.7,19.2,58.4,28.8,42.3,21,35.6,http://www.wikidata.org/entity/Q270272,grid.134907.8,
34,35,27,Duke University,Duke-University,unitedstates,35.3,17.7,0,45.8,42.2,62,24.4,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
35,36,2,University of British Columbia,University-of-British-Columbia,canada,34.7,17.7,18.9,32.2,30.8,65.7,23.7,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
36,36,28,"University of Maryland, College Park",University-of-Maryland-College-Park,unitedstates,34.7,22,19.9,41.4,29,53.6,26.2,http://www.wikidata.org/entity/Q503415,grid.164295.d,
37,38,29,The University of Texas at Austin,The-University-of-Texas-at-Austin,unitedstates,34.5,18.5,16.6,46.1,28.4,54.4,24.7,http://www.wikidata.org/entity/Q49213,grid.89336.37,
38,39,1,Pierre and Marie  Curie University - Paris 6,Pierre-and-Marie--Curie-University---Paris-6,france,34.2,34.8,23.5,24.9,28.8,59.9,21.9,,grid.5805.8,103
39,40,1,University of Copenhagen,University-of-Copenhagen,denmark,33.4,26.1,24.1,26,26,56.4,32.3,http://www.wikidata.org/entity/Q186285,grid.5254.6,
40,41,30,University of North Carolina at Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,unitedstates,33.3,10.7,16.2,39.4,27.7,60.6,23.9,http://www.wikidata.org/entity/Q192334,grid.10698.36,
41,42,1,Karolinska Institute,Karolinska-Institute,sweden,33.2,26.1,27.2,31.4,20.5,49.9,38.1,http://www.wikidata.org/entity/Q219564,grid.4714.6,
42,43,31,Pennsylvania State University - University Park,Pennsylvania-State-University---University-Park,unitedstates,32.6,11.9,0,46.6,37.4,56.1,23.2,http://www.wikidata.org/entity/Q739627,grid.29857.31,
43,44,5,The University of Manchester,The-University-of-Manchester,unitedkingdom,32.4,23.2,18.9,27.9,28,59.1,23.1,http://www.wikidata.org/entity/Q230899,grid.5379.8,
44,45,2,University of Paris Sud (Paris 11),University-of-Paris-Sud-(Paris-11),france,32.3,31.7,46,12.5,20.8,49.9,23.6,http://www.wikidata.org/entity/Q1480643,grid.5842.b,
45,46,32,"University of California, Davis",University-of-California-Davis,unitedstates,32,0,0,47.2,31.7,63,26,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
46,46,32,"University of California, Irvine",University-of-California-Irvine,unitedstates,32,0,29.3,36.7,26.3,49.3,26.9,http://www.wikidata.org/entity/Q868421,grid.266093.8,
47,46,32,University of Southern California,University-of-Southern-California,unitedstates,32,0,26.7,38.8,26.3,53.1,20,http://www.wikidata.org/entity/Q4614,grid.42505.36,
48,49,35,The University of Texas Southwestern Medical Center at Dallas,The-University-of-Texas-Southwestern-Medical-Center-at-Dallas,unitedstates,31.8,20.6,33.1,30.5,29.9,38.4,23.5,http://www.wikidata.org/entity/Q2725999,grid.267313.2,
49,50,1,Utrecht University,Utrecht-University,netherlands,31.7,26.1,20.9,27.9,30.4,48.2,26.1,http://www.wikidata.org/entity/Q221653,grid.5477.1,
50,51,2,University of Zurich,University-of-Zurich,switzerland,31.2,10.7,26.7,26.4,28.7,50.6,27,http://www.wikidata.org/entity/Q206702,grid.7400.3,
51,52,1,University of Munich,University-of-Munich,germany,31.1,31.5,22.8,16.1,26.3,54.5,30.7,http://www.wikidata.org/entity/Q55044,grid.5252.0,
52,53,36,Vanderbilt University,Vanderbilt-University,unitedstates,31,17.7,29.5,31.4,20.2,50.8,19.1,http://www.wikidata.org/entity/Q29052,grid.152326.1,
53,54,37,"Rutgers, The State University of New Jersey",Rutgers-The-State-University-of-New-Jersey,unitedstates,30.9,13.1,19.9,40.1,27.9,43.7,23.2,,grid.430387.b,103
54,54,6,The University of Edinburgh,The-University-of-Edinburgh,unitedkingdom,30.9,19.2,16.6,26,34.2,51.3,23.9,http://www.wikidata.org/entity/Q160302,grid.4305.2,
55,56,2,Technical University Munich,Technical-University-Munich,germany,30.7,39.2,23.5,24.9,19.5,46.5,29.2,http://www.wikidata.org/entity/Q157808,grid.6936.a,
56,56,38,University of Pittsburgh,University-of-Pittsburgh,unitedstates,30.7,21.3,0,42,23.4,63.1,19,,grid.21925.3d,101
57,58,39,Carnegie Mellon University,Carnegie-Mellon-University,unitedstates,30.2,32.9,32.7,30.5,15.2,34.2,34.3,http://www.wikidata.org/entity/Q190080,grid.147455.6,
58,59,1,The Australian National University,The-Australian-National-University,australia,29.6,15.1,12.6,36,27.8,43.8,31.1,http://www.wikidata.org/entity/Q127990,grid.1001.0,
59,59,40,The Ohio State University - Columbus,The-Ohio-State-University---Columbus,unitedstates,29.6,15.1,0,41.7,22.8,62,19.1,http://www.wikidata.org/entity/Q309331,grid.261331.4,
60,61,3,McGill University,McGill-University,canada,29.5,31.1,0,32.2,22.9,59.6,25.3,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
61,62,2,University of Melbourne,University-of-Melbourne,australia,29.3,19.9,14.1,22.8,18.7,63.1,27,,grid.1008.9,101
62,63,7,King's College London,Kings-College-London,unitedkingdom,29.1,14.1,23,31.4,16.7,50.7,25,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
63,63,3,University of Heidelberg,University-of-Heidelberg,germany,29.1,16.9,27,17.6,23,50.6,28.6,,grid.7700.0,103
64,65,41,Brown University,Brown-University,unitedstates,29,16,13.6,31.4,29.6,41.9,32.1,http://www.wikidata.org/entity/Q49114,grid.40263.33,
65,66,8,University of Bristol,University-of-Bristol,unitedkingdom,28.9,9.2,17.8,28.8,29.1,47.3,25.1,http://www.wikidata.org/entity/Q459506,grid.5337.2,
66,66,2,Uppsala University,Uppsala-University,sweden,28.9,22,32.1,14.4,19.9,49.5,26.6,http://www.wikidata.org/entity/Q185246,grid.8993.b,
67,68,42,University of Florida,University-of-Florida,unitedstates,28.8,19.2,0,36.7,20.6,63.9,17.5,http://www.wikidata.org/entity/Q501758,grid.15276.37,
68,69,43,Purdue University - West Lafayette,Purdue-University---West-Lafayette,unitedstates,28.6,16,16.6,29.7,22.4,51.8,20.6,http://www.wikidata.org/entity/Q217741,grid.169077.e,
69,70,2,Leiden University,Leiden-University,netherlands,28.4,21.3,15.4,27.9,19.9,47.8,32.4,http://www.wikidata.org/entity/Q156598,grid.5132.5,
70,71,3,Ecole Normale Superieure - Paris,Ecole-Normale-Superieure---Paris,france,28.3,50.8,24.4,12.5,18.7,27.9,56.7,http://www.wikidata.org/entity/Q83259,grid.5607.4,
71,72,1,The Hebrew University of Jerusalem,The-Hebrew-University-of-Jerusalem,israel,28.1,31.5,19.9,24.9,20.8,41.6,26.5,http://www.wikidata.org/entity/Q174158,grid.9619.7,
72,72,1,University of Helsinki,University-of-Helsinki,finland,28.1,16,17.8,22.8,20.6,52.7,28.2,http://www.wikidata.org/entity/Q28695,grid.7737.4,
73,74,1,Moscow State University,Moscow-State-University,russia,27.9,46.8,34.1,0,9.6,52.4,31.2,http://www.wikidata.org/entity/Q13164,grid.14476.30,
74,75,3,Osaka University,Osaka-University,japan,27.7,10.7,0,26.9,27.9,60.2,27.8,http://www.wikidata.org/entity/Q651233,grid.136593.b,
75,75,1,University of Oslo,University-of-Oslo,norway,27.7,22,33.3,17.6,13.5,46.6,24.3,http://www.wikidata.org/entity/Q486156,grid.5510.1,
76,77,44,Boston University,Boston-University,unitedstates,27.3,13.1,11.5,29.7,24.7,50,19.3,http://www.wikidata.org/entity/Q49110,grid.189504.1,
77,78,45,University of Arizona,University-of-Arizona,unitedstates,26.8,0,0,29.7,37.5,52.1,21.6,http://www.wikidata.org/entity/Q503419,grid.134563.6,
78,79,3,Stockholm University,Stockholm-University,sweden,26.4,25,29.5,16.1,20.4,37.5,24.2,http://www.wikidata.org/entity/Q221645,grid.10548.38,
79,79,4,Nagoya University,Nagoya-University,japan,26.4,24.4,14.1,16.1,24.3,48.1,26.1,http://www.wikidata.org/entity/Q1191132,grid.27476.30,
80,81,46,Arizona State University - Tempe,Arizona-State-University---Tempe,unitedstates,26.1,0,19.9,24.9,26.9,44.3,21.1,,grid.215654.1,103
81,82,47,University of Rochester,University-of-Rochester,unitedstates,25.8,0,11.5,30.5,27,46.6,19.2,http://www.wikidata.org/entity/Q149990,grid.16416.34,
82,82,47,University of Utah,University-of-Utah,unitedstates,25.8,28.2,8.9,26.9,20.6,43.3,21.9,http://www.wikidata.org/entity/Q168515,grid.223827.e,
83,84,5,Tohoku University,Tohoku-University,japan,25.7,16,0,21.6,20.8,60.3,27.4,http://www.wikidata.org/entity/Q1062129,grid.69566.3a,
84,84,9,University of Nottingham,University-of-Nottingham,unitedkingdom,25.7,13.1,19.9,23.9,16.1,47.6,20.9,http://www.wikidata.org/entity/Q472316,grid.4563.4,
85,86,49,Michigan State University,Michigan-State-University,unitedstates,25.5,10.7,0,37.4,19.1,52.4,18.7,http://www.wikidata.org/entity/Q270222,grid.17088.36,
86,86,3,University of Basel,University-of-Basel,switzerland,25.5,22,17,22.8,19.4,36.2,34.5,http://www.wikidata.org/entity/Q372608,grid.6612.3,
87,88,4,McMaster University,McMaster-University,canada,25.2,14.1,18.9,22.8,14.8,47.3,22.8,http://www.wikidata.org/entity/Q632891,grid.25073.33,
88,88,10,The University of Sheffield,The-University-of-Sheffield,unitedkingdom,25.2,19.9,14.1,21,21.3,44.3,22.6,http://www.wikidata.org/entity/Q823917,grid.11835.3e,
89,90,1,Ghent University,Ghent-University,belgium,25.1,7.5,15.4,17.6,15.1,54.4,30.4,http://www.wikidata.org/entity/Q1137665,grid.5342.0,
90,90,50,Indiana University Bloomington,Indiana-University-Bloomington,unitedstates,25.1,11.9,22.7,24.9,18.5,39.9,19.6,http://www.wikidata.org/entity/Q1079140,grid.411377.7,
91,92,3,University of Sydney,University-of-Sydney,australia,25,16.9,0,20.4,18.4,61.4,25.1,http://www.wikidata.org/entity/Q487556,grid.1013.3,
92,93,4,University of Bonn,University-of-Bonn,germany,24.9,16.9,19.9,14.4,23.3,42.5,24.3,http://www.wikidata.org/entity/Q152171,grid.10388.32,
93,93,4,University of Goettingen,University-of-Goettingen,germany,24.9,32.9,19.9,14.4,17.2,40.7,24.3,http://www.wikidata.org/entity/Q152838,grid.7450.6,
94,95,51,Texas A&M; University - College Station,Texas-AM-University---College-Station,unitedstates,24.8,0,0,34.5,21,54,21,,grid.264756.4,103
95,96,52,University of Virginia,University-of-Virginia,unitedstates,24.5,0,0,34.5,26.8,47.5,19.5,http://www.wikidata.org/entity/Q213439,grid.27755.32,
96,97,53,Case Western Reserve University,Case-Western-Reserve-University,unitedstates,24.3,34.5,11.5,21.6,14.3,41.9,22.7,http://www.wikidata.org/entity/Q1047060,grid.67105.35,
97,98,2,Aarhus University,Aarhus-University,denmark,24.2,13.1,18.9,7.2,23.5,48.4,25.4,http://www.wikidata.org/entity/Q924265,grid.7048.b,
98,99,54,Rice University,Rice-University,unitedstates,24,18.5,21.8,21.6,18.8,30.2,29.6,http://www.wikidata.org/entity/Q842909,grid.21940.3e,
99,99,11,University of Birmingham,University-of-Birmingham,unitedkingdom,24,21.3,10.9,21.6,16.2,46.4,20.7,http://www.wikidata.org/entity/Q223429,grid.6572.6,
100,101-150,55-69,Baylor College of Medicine,Baylor-College-of-Medicine,unitedstates,,0,0,19,32.1,41,20,http://www.wikidata.org/entity/Q2892284,grid.39382.33,
101,101-150,4-Feb,Catholic University of Leuven,Catholic-University-of-Leuven,belgium,,0,0,21.6,15,53.8,25.5,,grid.5596.f,103
102,101-150,4-Feb,Catholic University of Louvain,Catholic-University-of-Louvain,belgium,,11.9,13.6,17.6,13.8,41.9,28.3,http://www.wikidata.org/entity/Q378134,grid.7942.8,
103,101-150,55-69,Emory University,Emory-University,unitedstates,,0,0,30.5,24.1,50.5,18.1,http://www.wikidata.org/entity/Q621043,grid.189967.8,
104,101-150,55-69,Georgia Institute of Technology,Georgia-Institute-of-Technology,unitedstates,,14.1,0,26,23.8,45.2,27.1,http://www.wikidata.org/entity/Q864855,grid.213917.f,
105,101-150,4,Lund University,Lund-University,sweden,,25,0,24.9,17,50.1,21.8,http://www.wikidata.org/entity/Q218506,grid.4514.4,
106,101-150,55-69,Mayo Medical School,Mayo-Medical-School,unitedstates,,0,0,24.9,16.1,48,24.7,http://www.wikidata.org/entity/Q48977467,grid.66875.3a,103
107,101-150,1,National Taiwan University,National-Taiwan-University,"taiwan,china",,13.1,0,16.1,11.6,59.6,19.7,http://www.wikidata.org/entity/Q32746,grid.19188.39,
108,101-150,1,National University of Singapore,National-University-of-Singapore,singapore,,0,0,10.2,14.6,59.1,27,http://www.wikidata.org/entity/Q738236,grid.4280.e,
109,101-150,55-69,North Carolina State University - Raleigh,North-Carolina-State-University---Raleigh,unitedstates,,0,0,27.9,15.9,42.9,19.2,http://www.wikidata.org/entity/Q1132346,grid.40803.3f,
110,101-150,55-69,Oregon State University,Oregon-State-University,unitedstates,,13.1,0,26.9,24.7,36.5,23.8,http://www.wikidata.org/entity/Q861888,grid.4391.f,
111,101-150,1,Seoul National University,Seoul-National-University,southkorea,,0,0,7.2,13.1,66.5,20.3,http://www.wikidata.org/entity/Q39913,grid.31501.36,
112,101-150,5-Apr,Swiss Federal Institute of Technology of Lausanne,Swiss-Federal-Institute-of-Technology-of-Lausanne,switzerland,,0,0,23.9,20.1,40.4,34,,grid.5333.6,103
113,101-150,4-Feb,Technion-Israel Institute of Technology,Technion-Israel-Institute-of-Technology,israel,,16,23,16.1,14,36.9,21.7,http://www.wikidata.org/entity/Q333705,grid.6451.6,
114,101-150,4-Feb,Tel Aviv University,Tel-Aviv-University,israel,,0,0,23.9,15.9,50.9,25.5,http://www.wikidata.org/entity/Q319239,grid.12136.37,
115,101-150,55-69,The University of Georgia,The-University-of-Georgia,unitedstates,,0,0,26.9,19.8,44.2,18.5,http://www.wikidata.org/entity/Q761534,grid.213876.9,
116,101-150,5-Apr,The University of Queensland,The-University-of-Queensland,australia,,14.1,0,12.5,24,57.3,25.9,http://www.wikidata.org/entity/Q866012,grid.1003.2,
117,101-150,5-Apr,The University of Western Australia,The-University-of-Western-Australia,australia,,15.1,14.1,21.6,13.1,42.6,26.4,http://www.wikidata.org/entity/Q1517021,grid.1012.2,
118,101-150,6,Tokyo Institute of Technology,Tokyo-Institute-of-Technology,japan,,14.1,0,21.6,22.8,44.4,29.5,http://www.wikidata.org/entity/Q587326,grid.32197.3e,
119,101-150,55-69,Tufts University,Tufts-University,unitedstates,,16,16.6,22.8,13,37.4,25.9,http://www.wikidata.org/entity/Q49120,grid.429997.8,
120,101-150,4-Feb,University Libre Bruxelles,University-Libre-Bruxelles,belgium,,18.5,18.9,12.5,13.1,32,25.6,,grid.4989.c,103
121,101-150,6-May,University of Alberta,University-of-Alberta,canada,,13.1,0,20.4,21.3,56.9,21.8,http://www.wikidata.org/entity/Q640694,grid.17089.37,
122,101-150,6-Mar,University of Amsterdam,University-of-Amsterdam,netherlands,,7.5,0,19,20.9,51.9,26.3,http://www.wikidata.org/entity/Q214341,grid.7177.6,
